날짜,식이구분,조식,중식,석식
2025-01-30,당뇨식,보리밥+물만두국+버터갈릭새우+매콤어묵볶음+유채된장나물+포기김치,보리밥+애호박찌개+수제떡갈비+소스+한식잡채+참나물겉절이+갓김치,잡곡밥+소고기미역국+고등어양념구이+야채계란찜+톳두부무침+포기김치
2025-01-30,연식,야채죽+물만두국+버터갈릭새우+어묵볶음+유채된장나물+백김치,맛살죽+호박된장국+수제떡갈비+한식잡채+참나물무침+백김치,버섯죽+소고기미역국+고등어구이+야채계란찜+톳두부무침+백김치
2025-01-30,저염식,쌀밥+물만두국+버터갈릭새우+어묵볶음+유채된장나물+백김치,쌀밥+호박된장국+수제떡갈비+한식잡채+참나물무침+백김치,잡곡밥+소고기미역국+고등어구이+야채계란찜+톳두부무침+백김치
2025-01-31,일반식,날치알주먹밥+단호박죽+모듬소세지볶음+딸기+볶음김치,쌀밥+두부된장국+미나리제육볶음+맛살팽이계란부침+도라지나물+깍두기,잡곡밥+콩나물맑은국+닭볶음탕+멸치볶음+달래오이무침+포기김치
2025-01-31,당뇨식,날치알주먹밥+단호박죽(달지않게)+모듬소세지볶음+딸기+볶음김치,보리밥+두부된장국+미나리제육볶음+맛살팽이계란부침+도라지나물+깍두기,잡곡밥+콩나물맑은국+닭볶음탕+두부계란전+달래오이무침+포기김치
2025-01-31,연식,단호박죽(탕기)+모듬소세지볶음+딸기+백김치+동태전,소고기죽+두부된장국+간장돈육불고기+맛살팽이계란부침+도라지나물+백김치,해물죽+콩나물맑은국+간장닭살볶음+두부계란전+오이나물+백김치
2025-01-31,저염식,쌀밥+모듬소세지볶음+딸기+백김치+동태전,쌀밥+두부된장국+간장돈육불고기+맛살팽이계란부침+도라지나물+백김치,잡곡밥+콩나물맑은국+간장닭살볶음+두부계란전+오이나물+백김치
2025-02-01,일반식,쌀밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,쌀밥+순두부찌개+소고기버섯볶음+지삼선+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-01,당뇨식,보리밥+감자된장국+돈민찌메란장조림+자반볶음+건고구마대들깨나물+포기김치,보리밥+순두부찌개+소고기버섯볶음+가지나물+얼갈이배추겉절이+깍두기,잡곡밥+삼색수제비국+시래기코다리조림+도토리묵야채무침+오징어젓갈+깍두기
2025-02-01,연식,순두부죽+감자된장국+돈민찌메란장조림+양배추나물+건고구마대들깨나물+백김치,해물죽+순두부백탕+소고기버섯볶음+가지나물+얼갈이된장나물+백김치,단호박죽+삼색수제비국+코다리간장조림+도토리묵+양념장+상추간장무침+백김치
